subject_id,technique,density,trial_id,randObjIdx,successful_selections,total_attempts,trial_time
sub192,SimpleMiniMap,1,1,66,1,1,1.686558
sub192,SimpleMiniMap,1,2,110,1,1,1.665527
sub192,SimpleMiniMap,1,3,25,1,1,1.482632
sub192,SimpleMiniMap,1,4,69,1,1,1.603214
sub192,SimpleMiniMap,1,5,24,1,1,1.456322
sub192,SimpleMiniMap,1,6,86,1,1,1.416588
sub192,SimpleMiniMap,1,7,69,1,1,1.396458
sub192,SimpleMiniMap,1,8,93,1,1,1.823772
sub192,SimpleMiniMap,1,9,93,1,1,1.619457
sub192,SimpleMiniMap,1,10,6,1,1,1.923843
sub192,SimpleMiniMap,1,11,56,1,1,1.455196
sub192,SimpleMiniMap,1,12,65,1,1,1.70496
sub192,SimpleMiniMap,1,13,16,1,1,1.570133
sub192,SimpleMiniMap,1,14,10,1,1,1.374542
sub192,SimpleMiniMap,1,15,90,1,1,2.174042
sub192,SimpleMiniMap,1,16,25,0,0,0
sub192,SimpleMiniMap,2,1,219,1,1,1.874374
sub192,SimpleMiniMap,2,2,191,1,1,2.128349
sub192,SimpleMiniMap,2,3,11,1,1,1.42057
sub192,SimpleMiniMap,2,4,180,1,1,1.752693
sub192,SimpleMiniMap,2,5,202,1,1,1.672165
sub192,SimpleMiniMap,2,6,104,1,1,1.810349
sub192,SimpleMiniMap,2,7,113,1,1,2.719368
sub192,SimpleMiniMap,2,8,70,1,1,1.58931
sub192,SimpleMiniMap,2,9,59,1,1,1.423569
sub192,SimpleMiniMap,2,10,220,1,1,2.009895
sub192,SimpleMiniMap,2,11,126,1,1,1.802612
sub192,SimpleMiniMap,2,12,127,1,1,2.370392
sub192,SimpleMiniMap,2,13,226,1,1,1.520058
sub192,SimpleMiniMap,2,14,109,0,0,0
sub192,SimpleMiniMap,3,1,354,1,1,2.329704
sub192,SimpleMiniMap,3,2,20,1,1,1.591797
sub192,SimpleMiniMap,3,3,73,1,1,2.256622
sub192,SimpleMiniMap,3,4,78,1,1,1.710091
sub192,SimpleMiniMap,3,5,381,1,1,1.675537
sub192,SimpleMiniMap,3,6,89,1,1,1.846237
sub192,SimpleMiniMap,3,7,402,1,1,3.349762
sub192,SimpleMiniMap,3,8,18,1,1,2.048424
sub192,SimpleMiniMap,3,9,486,1,1,2.224266
sub192,SimpleMiniMap,3,10,498,1,1,1.995323
sub192,SimpleMiniMap,3,11,491,1,1,1.689674
sub192,SimpleMiniMap,3,12,410,1,1,1.532104
sub192,SimpleMiniMap,3,13,361,0,0,0
sub192,OhMiniMap,1,1,66,1,1,1.842194
sub192,OhMiniMap,1,2,110,1,1,1.422073
sub192,OhMiniMap,1,3,25,1,1,1.365158
sub192,OhMiniMap,1,4,69,1,1,1.419647
sub192,OhMiniMap,1,5,24,1,1,1.396988
