subject_id,technique,density,trial_id,randObjIdx,successful_selections,total_attempts,trial_time
subDrlAVIOLA,RayKebab,1,1,30,1,1,5.55257
subDrlAVIOLA,RayKebab,1,2,20,1,1,3.480701
subDrlAVIOLA,RayKebab,1,3,1,1,2,5.293869
subDrlAVIOLA,RayKebab,1,4,15,1,2,25.8446
subDrlAVIOLA,RayKebab,1,5,30,1,1,4.789261
subDrlAVIOLA,RayKebab,2,1,72,1,1,7.407616
subDrlAVIOLA,RayKebab,2,2,65,1,1,3.884796
subDrlAVIOLA,RayKebab,2,3,79,1,2,4.441444
subDrlAVIOLA,RayKebab,2,4,24,1,1,3.171173
subDrlAVIOLA,RayKebab,2,5,81,1,1,2.550873
subDrlAVIOLA,RayKebab,3,1,18,1,2,4.94278
subDrlAVIOLA,RayKebab,3,2,296,1,3,14.75462
subDrlAVIOLA,RayKebab,3,3,259,1,1,5.097931
subDrlAVIOLA,RayKebab,3,4,171,1,1,3.675873
subDrlAVIOLA,RayKebab,3,5,120,1,5,11.12218
subDrlAVIOLA,OhMiniMap,1,1,30,1,1,15.77257
subDrlAVIOLA,OhMiniMap,1,2,20,1,1,7.473511
subDrlAVIOLA,OhMiniMap,1,3,1,1,1,11.1441
subDrlAVIOLA,OhMiniMap,1,4,15,1,1,15.35213
subDrlAVIOLA,OhMiniMap,1,5,30,1,1,5.05957
subDrlAVIOLA,OhMiniMap,2,1,72,1,2,10.00089
subDrlAVIOLA,OhMiniMap,2,2,65,1,3,16.90897
subDrlAVIOLA,OhMiniMap,2,3,79,1,2,12.82037
subDrlAVIOLA,OhMiniMap,2,4,24,1,2,7.634186
subDrlAVIOLA,OhMiniMap,2,5,81,1,2,8.48175
subDrlAVIOLA,OhMiniMap,3,1,18,1,3,9.423981
subDrlAVIOLA,OhMiniMap,3,2,296,1,1,7.819794
subDrlAVIOLA,OhMiniMap,3,3,259,1,2,8.53479
subDrlAVIOLA,OhMiniMap,3,4,171,1,2,7.618134
subDrlAVIOLA,OhMiniMap,3,5,120,1,2,7.175751
