subject_id,technique,density,trial_id,randObjIdx,successful_selections,total_attempts,trial_time
subYOHAN,SimpleMiniMap,1,1,66,1,1,3.579027
subYOHAN,SimpleMiniMap,1,2,110,1,1,2.460291
subYOHAN,SimpleMiniMap,1,3,25,1,1,2.929836
subYOHAN,SimpleMiniMap,1,4,69,1,1,1.858076
subYOHAN,SimpleMiniMap,1,5,24,1,1,1.492537
subYOHAN,SimpleMiniMap,1,6,86,1,1,1.411364
subYOHAN,SimpleMiniMap,1,7,69,1,1,1.471035
subYOHAN,SimpleMiniMap,1,8,93,1,1,2.515579
subYOHAN,SimpleMiniMap,1,9,93,1,1,3.936649
subYOHAN,SimpleMiniMap,1,10,6,1,1,5.626045
subYOHAN,SimpleMiniMap,1,11,56,1,1,1.62553
subYOHAN,SimpleMiniMap,1,12,65,0,0,0
subYOHAN,SimpleMiniMap,2,1,219,1,2,5.424717
subYOHAN,SimpleMiniMap,2,2,191,1,1,7.497314
subYOHAN,SimpleMiniMap,2,3,11,1,2,2.415394
subYOHAN,SimpleMiniMap,2,4,180,1,1,4.938587
subYOHAN,SimpleMiniMap,2,5,202,1,1,2.974678
subYOHAN,SimpleMiniMap,2,6,104,1,1,2.584351
subYOHAN,SimpleMiniMap,2,7,113,1,1,1.603592
subYOHAN,SimpleMiniMap,2,8,70,0,0,0
subYOHAN,SimpleMiniMap,3,1,354,1,1,5.507446
subYOHAN,SimpleMiniMap,3,2,20,1,1,5.382957
subYOHAN,SimpleMiniMap,3,3,73,1,1,4.929443
subYOHAN,SimpleMiniMap,3,4,78,1,1,11.85107
subYOHAN,SimpleMiniMap,3,5,381,0,0,0
subYOHAN,OhMiniMap,1,1,66,1,1,2.701523
