subject_id,technique,density,trial_id,randObjIdx,successful_selections,total_attempts,trial_time
submyk,OhMiniMap,1,1,30,1,1,3.207891
submyk,OhMiniMap,1,2,2,1,1,3.200388
submyk,OhMiniMap,1,3,10,1,1,1.864868
submyk,OhMiniMap,1,4,33,1,1,1.871872
submyk,OhMiniMap,1,5,48,1,1,1.668297
submyk,OhMiniMap,1,6,35,1,1,2.951435
submyk,OhMiniMap,1,7,6,1,1,1.919556
submyk,OhMiniMap,1,8,36,1,1,1.832413
submyk,OhMiniMap,2,1,90,1,1,2.272789
submyk,OhMiniMap,2,2,84,1,1,3.20974
submyk,OhMiniMap,2,3,29,1,1,1.449661
submyk,OhMiniMap,2,4,43,1,1,2.730957
submyk,OhMiniMap,2,5,14,1,1,1.254227
submyk,OhMiniMap,2,6,96,1,1,1.763222
submyk,OhMiniMap,2,7,42,1,1,2.206116
submyk,OhMiniMap,2,8,107,1,1,2.093712
submyk,OhMiniMap,3,1,153,1,3,3.849281
submyk,OhMiniMap,3,2,158,1,1,3.953972
