subject_id,technique,density,trial_id,randObjIdx,successful_selections,total_attempts,trial_time
subryan,RayKebab,1,1,30,1,1,0.9750681
subryan,RayKebab,1,2,2,1,1,1.392236
subryan,RayKebab,1,3,10,1,1,1.378342
subryan,RayKebab,1,4,33,1,1,1.517635
subryan,RayKebab,1,5,48,1,1,1.628889
subryan,RayKebab,1,6,35,1,1,0.9048767
subryan,RayKebab,1,7,6,1,1,1.071968
subryan,RayKebab,1,8,36,1,1,1.183352
subryan,RayKebab,2,1,90,1,1,2.130159
subryan,RayKebab,2,2,84,1,1,1.838055
subryan,RayKebab,2,3,29,1,1,2.185703
subryan,RayKebab,2,4,43,1,1,2.255806
subryan,RayKebab,2,5,14,1,1,1.211277
subryan,RayKebab,2,6,96,1,1,1.886211
subryan,RayKebab,2,7,42,1,1,1.888714
subryan,RayKebab,2,8,107,1,1,1.016258
subryan,RayKebab,3,1,153,1,2,2.154594
subryan,RayKebab,3,2,158,1,2,2.061329
subryan,RayKebab,3,3,106,1,1,1.743649
subryan,RayKebab,3,4,72,1,1,1.865871
subryan,RayKebab,3,5,111,1,1,1.086014
subryan,RayKebab,3,6,77,1,1,0.9884529
subryan,RayKebab,3,7,0,1,2,6.261703
subryan,RayKebab,3,8,9,1,3,2.018906
subryan,OhMiniMap,1,1,30,1,1,3.475822
subryan,OhMiniMap,1,2,2,1,1,1.449661
subryan,OhMiniMap,1,3,10,1,1,1.28109
subryan,OhMiniMap,1,4,33,1,1,1.421417
subryan,OhMiniMap,1,5,48,1,1,1.441963
subryan,OhMiniMap,1,6,35,1,1,1.259232
subryan,OhMiniMap,1,7,6,1,1,1.282631
subryan,OhMiniMap,1,8,36,1,1,1.355995
subryan,OhMiniMap,2,1,90,1,1,2.085983
subryan,OhMiniMap,2,2,84,1,1,2.8209
subryan,OhMiniMap,2,3,29,1,1,2.054985
subryan,OhMiniMap,2,4,43,1,1,2.104416
subryan,OhMiniMap,2,5,14,1,1,2.034073
subryan,OhMiniMap,2,6,96,1,1,1.597694
subryan,OhMiniMap,2,7,42,1,1,2.117371
subryan,OhMiniMap,2,8,107,1,1,1.455032
subryan,OhMiniMap,3,1,153,1,1,2.119522
subryan,OhMiniMap,3,2,158,1,1,2.14624
subryan,OhMiniMap,3,3,106,1,1,2.269592
subryan,OhMiniMap,3,4,72,1,1,1.63237
subryan,OhMiniMap,3,5,111,1,1,1.304947
subryan,OhMiniMap,3,6,77,1,1,1.425781
subryan,OhMiniMap,3,7,0,1,1,1.712601
subryan,OhMiniMap,3,8,9,1,1,1.87114
subryan,ThreeDMiniMap,1,1,30,1,1,3.963013
subryan,ThreeDMiniMap,1,2,2,1,1,2.913773
