subject_id,technique,density,trial_id,randObjIdx,successful_selections,total_attempts,trial_time
subtest911,RayKebab,1,1,30,1,1,3.044006
subtest911,RayKebab,1,2,20,1,1,2.534042
subtest911,RayKebab,1,3,1,1,1,1.979767
subtest911,RayKebab,1,4,15,1,1,4.423599
subtest911,RayKebab,1,5,30,1,1,2.472549
subtest911,RayKebab,2,1,72,1,1,3.012619
subtest911,RayKebab,2,2,65,1,1,2.048065
subtest911,RayKebab,2,3,79,1,1,1.894394
subtest911,RayKebab,2,4,24,1,1,2.17363
subtest911,RayKebab,2,5,81,1,1,1.911896
subtest911,RayKebab,3,1,18,1,1,2.773712
subtest911,RayKebab,3,2,296,1,1,2.380615
subtest911,RayKebab,3,3,259,1,1,3.069275
subtest911,RayKebab,3,4,171,1,1,2.076904
subtest911,RayKebab,3,5,120,1,1,2.587006
