subject_id,technique,density,trial_id,randObjIdx,successful_selections,total_attempts,trial_time
subtestSubject,RayKebab,1,1,30,1,3,13.33776
subtestSubject,RayKebab,1,2,20,1,2,6.858866
subtestSubject,RayKebab,2,1,72,1,1,7.412342
subtestSubject,RayKebab,2,2,65,1,3,8.716797
subtestSubject,RayKebab,3,1,18,1,1,6.429317
subtestSubject,RayKebab,3,2,296,1,1,1.698551
subtestSubject,ThreeDMiniMap,1,1,30,1,1,7.65226
subtestSubject,ThreeDMiniMap,1,2,20,1,1,13.38003
subtestSubject,ThreeDMiniMap,2,1,72,1,1,2.122734
subtestSubject,ThreeDMiniMap,2,2,65,1,1,1.777603
subtestSubject,ThreeDMiniMap,3,1,18,1,1,1.983437
subtestSubject,ThreeDMiniMap,3,2,296,1,1,2.100266
