subject_id,technique,density,trial_id,randObjIdx,successful_selections,total_attempts,trial_time
subtestagain425,RayKebab,1,1,30,1,1,8.52496
subtestagain425,RayKebab,1,2,20,1,1,3.152138
subtestagain425,RayKebab,1,3,1,1,1,3.049122
subtestagain425,RayKebab,1,4,15,1,1,3.1003
subtestagain425,RayKebab,1,5,30,1,1,3.320568
subtestagain425,RayKebab,2,1,72,1,1,5.602753
subtestagain425,RayKebab,2,2,65,1,1,2.938858
subtestagain425,RayKebab,2,3,79,1,1,2.871323
subtestagain425,RayKebab,2,4,24,1,3,14.48747
subtestagain425,RayKebab,2,5,81,1,2,5.562531
subtestagain425,RayKebab,3,1,18,1,1,6.95517
subtestagain425,RayKebab,3,2,296,1,1,2.951668
subtestagain425,RayKebab,3,3,259,1,1,3.149666
subtestagain425,RayKebab,3,4,171,1,1,2.987289
subtestagain425,RayKebab,3,5,120,1,1,4.650734
