subject_id,technique,density,trial_id,randObjIdx,successful_selections,total_attempts,trial_time
subtestagain,RayKebab,1,1,30,1,1,2.509912
subtestagain,RayKebab,1,2,20,1,1,2.620194
subtestagain,RayKebab,1,3,1,1,1,2.356739
subtestagain,RayKebab,1,4,15,1,1,2.957012
subtestagain,RayKebab,1,5,30,1,1,1.986475
subtestagain,RayKebab,2,1,72,1,1,3.411886
subtestagain,RayKebab,2,2,65,1,1,2.300461
subtestagain,RayKebab,2,3,79,1,1,2.256699
subtestagain,RayKebab,2,4,24,1,1,2.149178
subtestagain,RayKebab,2,5,81,1,1,2.472004
subtestagain,RayKebab,3,1,18,1,1,4.599854
subtestagain,RayKebab,3,2,296,1,1,2.460709
subtestagain,RayKebab,3,3,259,1,1,2.752697
subtestagain,RayKebab,3,4,171,1,1,2.224365
subtestagain,RayKebab,3,5,120,1,1,2.767006
