subject_id,technique,density,trial_id,randObjIdx,successful_selections,total_attempts,trial_time
subtestagain_fr1232,RayKebab,1,1,30,1,1,5.779927
subtestagain_fr1232,RayKebab,1,2,20,1,1,3.768953
subtestagain_fr1232,RayKebab,1,3,1,1,1,3.097712
subtestagain_fr1232,RayKebab,1,4,15,1,1,4.59486
subtestagain_fr1232,RayKebab,1,5,30,1,1,6.554504
subtestagain_fr1232,RayKebab,2,1,72,1,1,7.981064
subtestagain_fr1232,RayKebab,2,2,65,1,1,9.944881
subtestagain_fr1232,RayKebab,2,3,79,1,1,17.21669
subtestagain_fr1232,RayKebab,2,4,24,1,1,9.816154
subtestagain_fr1232,RayKebab,2,5,81,1,1,5.046768
subtestagain_fr1232,RayKebab,3,1,18,1,1,15.57693
subtestagain_fr1232,RayKebab,3,2,296,1,1,8.924721
subtestagain_fr1232,RayKebab,3,3,259,1,1,5.870575
subtestagain_fr1232,RayKebab,3,4,171,1,2,117.8637
subtestagain_fr1232,RayKebab,3,5,120,1,1,5.397324
subtestagain_fr1232,OhMiniMap,1,1,30,1,1,15.77594
subtestagain_fr1232,OhMiniMap,1,2,20,1,1,2.811707
subtestagain_fr1232,OhMiniMap,1,3,1,1,1,18.82861
subtestagain_fr1232,OhMiniMap,1,4,15,1,1,3.815796
subtestagain_fr1232,OhMiniMap,1,5,30,1,1,2.654846
subtestagain_fr1232,OhMiniMap,2,1,72,1,1,7.946045
subtestagain_fr1232,OhMiniMap,2,2,65,1,1,6.517578
subtestagain_fr1232,OhMiniMap,2,3,79,1,1,18.23364
subtestagain_fr1232,OhMiniMap,2,4,24,1,1,22.3949
subtestagain_fr1232,OhMiniMap,2,5,81,1,1,12.62036
subtestagain_fr1232,OhMiniMap,3,1,18,1,1,11.03217
subtestagain_fr1232,OhMiniMap,3,2,296,1,1,42.50385
subtestagain_fr1232,OhMiniMap,3,3,259,1,1,11.74011
subtestagain_fr1232,OhMiniMap,3,4,171,1,1,27.72461
subtestagain_fr1232,OhMiniMap,3,5,120,1,1,3.683777
