index,subject_id,technique,density,global_trial_idx,trial_type,trial_id,distance_to_obj,num_attempts,trial_time,left_hand_distance_travelled,right_hand_distance_travelled,left_trigger_clicked,right_trigger_clicked,left_grip_clicked,right_grip_clicked
0,sub_2,ConeExpand,high,1,Search,1,5.180508,1,29.41743,2.352017,0.5447421,0,11,0,14
1,sub_2,ConeExpand,high,2,Repeat,1,5.156277,1,6.056389,0.9248972,0.4020788,0,3,0,2
2,sub_2,ConeExpand,high,3,Search,2,7.540501,1,7.589279,0.6546621,0.4745724,0,3,0,1
3,sub_2,ConeExpand,high,4,Repeat,2,7.561435,1,2.993813,0.4708,0.04838014,0,2,0,0
4,sub_2,ConeExpand,high,5,Search,3,9.917036,1,3.897247,0.6159104,0.04703616,0,2,0,1
5,sub_2,ConeExpand,high,6,Repeat,3,9.914052,1,9.384735,1.147889,0.08567679,0,6,0,4
6,sub_2,ConeExpand,high,7,Search,4,9.982533,1,14.24503,0.978778,0.06425712,0,9,0,8
7,sub_2,ConeExpand,high,8,Repeat,4,9.995818,1,2.589508,0.4979524,0.0521819,0,2,0,0
8,sub_2,ConeExpand,high,9,Search,5,4.123013,1,5.554153,0.7395413,0.05132077,0,4,0,2
9,sub_2,ConeExpand,high,10,Repeat,5,4.139653,1,2.199707,0.6378902,0.03483003,0,2,0,0
10,sub_2,ConeExpand,medium,11,Search,1,11.44509,1,3.25795,0.5468155,0.04621052,0,2,0,0
11,sub_2,ConeExpand,medium,12,Repeat,1,11.4625,1,1.726547,0.5116537,0.03601659,0,2,0,0
12,sub_2,ConeExpand,medium,13,Search,2,11.51569,1,2.089874,0.4505017,0.03713754,0,2,0,0
13,sub_2,ConeExpand,medium,14,Repeat,2,11.51325,1,1.782669,0.419907,0.02661428,0,2,0,0
14,sub_2,ConeExpand,medium,15,Search,3,12.42763,1,9.356842,1.200276,0.03946183,0,7,0,5
15,sub_2,ConeExpand,medium,16,Repeat,3,12.43962,1,1.656845,0.383742,0.05891573,0,2,0,0
16,sub_2,ConeExpand,medium,17,Search,4,5.199554,2,6.419418,0.6139906,0.05469397,0,6,1,2
17,sub_2,ConeExpand,medium,18,Repeat,4,5.181118,1,2.004562,0.4191606,0.03323221,0,2,0,0
18,sub_2,ConeExpand,medium,19,Search,5,11.71942,1,8.8134,0.7753113,0.06346224,0,7,0,5
19,sub_2,ConeExpand,medium,20,Repeat,5,11.72854,1,1.894943,0.3144694,0.03685391,0,2,0,0
20,sub_2,ConeExpand,low,21,Search,1,10.88079,1,7.754227,0.674715,0.8082736,0,6,0,5
21,sub_2,ConeExpand,low,22,Repeat,1,10.89207,1,4.692108,0.5040764,0.495388,0,3,0,2
22,sub_2,ConeExpand,low,23,Search,2,9.811558,1,5.290466,0.5213953,0.03098246,0,4,0,3
23,sub_2,ConeExpand,low,24,Repeat,2,9.820553,1,2.143951,0.3789312,0.03520142,0,2,0,0
24,sub_2,ConeExpand,low,25,Search,3,9.938993,1,3.675751,0.4846126,0.02957923,0,3,0,1
25,sub_2,ConeExpand,low,26,Repeat,3,9.938907,1,2.506729,0.3354067,0.03038423,0,3,0,0
26,sub_2,ConeExpand,low,27,Search,4,13.28864,1,2.297485,0.3157864,0.02171534,0,2,0,0
27,sub_2,ConeExpand,low,28,Repeat,4,13.29279,1,6.13974,0.6226687,0.03828027,0,5,0,3
28,sub_2,ConeExpand,low,29,Search,5,6.517027,1,5.944748,0.9783937,0.1572725,0,5,0,2
29,sub_2,ConeExpand,low,30,Repeat,5,6.511903,1,1.85257,0.3507522,0.0290067,0,2,0,0
30,sub_2,GravityZone+,low,31,Search,1,11.45947,1,13.87981,0.7224939,0.117326,0,1,0,0
31,sub_2,GravityZone+,low,32,Repeat,1,11.47617,1,20.66111,0.8704802,0.07386522,0,1,0,0
32,sub_2,GravityZone+,low,33,Search,2,5.975619,1,3.063663,0.4379888,0.05343837,0,1,0,0
33,sub_2,GravityZone+,low,34,Repeat,2,5.989274,1,3.522797,0.4084734,0.02996944,0,1,0,0
34,sub_2,GravityZone+,low,35,Search,3,13.30671,1,23.50121,0.595121,0.08038169,0,1,0,0
35,sub_2,GravityZone+,low,36,Repeat,3,13.31073,1,8.493912,0.4376891,0.04587314,0,1,0,0
36,sub_2,GravityZone+,low,37,Search,4,9.83835,1,5.443626,0.529429,0.08324838,0,1,0,0
37,sub_2,GravityZone+,low,38,Repeat,4,9.840877,1,3.731178,0.3425828,0.01745604,0,1,0,0
38,sub_2,GravityZone+,low,39,Search,5,8.417809,1,5.819725,0.5526919,0.05401926,0,1,0,0
39,sub_2,GravityZone+,low,40,Repeat,5,8.414924,2,6.251221,0.6819631,0.05654224,0,2,0,0
40,sub_2,GravityZone+,medium,41,Search,1,9.988688,1,4.0924,0.4711436,0.0643054,0,1,0,0
41,sub_2,GravityZone+,medium,42,Repeat,1,10.01054,1,2.562531,0.3148235,0.04609057,0,1,0,0
42,sub_2,GravityZone+,medium,43,Search,2,5.199638,1,6.251144,0.440427,0.04795879,0,1,0,0
43,sub_2,GravityZone+,medium,44,Repeat,2,5.197866,1,4.121094,0.3388985,0.05594419,0,1,0,0
44,sub_2,GravityZone+,medium,45,Search,3,7.466,1,4.330963,0.4846236,0.05246519,0,1,0,0
45,sub_2,GravityZone+,medium,46,Repeat,3,7.489889,2,3.732132,0.6196747,0.07733415,0,2,0,0
46,sub_2,GravityZone+,medium,47,Search,4,5.984849,1,3.313507,0.4842175,0.04914218,0,1,0,0
47,sub_2,GravityZone+,medium,48,Repeat,4,5.990561,1,2.951462,0.4784689,0.06662237,0,1,0,0
48,sub_2,GravityZone+,medium,49,Search,5,7.480835,1,3.940994,0.4632143,0.05502826,0,1,0,0
49,sub_2,GravityZone+,medium,50,Repeat,5,7.480096,1,3.717316,0.4570355,0.05318669,0,1,0,0
50,sub_2,GravityZone+,high,51,Search,1,13.32391,1,25.72864,0.6706367,0.05616818,0,1,0,0
51,sub_2,GravityZone+,high,52,Repeat,1,13.35263,1,15.05058,0.4419827,0.0522223,0,1,0,0
52,sub_2,GravityZone+,high,53,Search,2,9.925208,1,10.31609,0.4423737,0.05399636,0,1,0,0
53,sub_2,GravityZone+,high,54,Repeat,2,9.931806,1,8.631653,0.3109014,0.05251654,0,1,0,0
54,sub_2,GravityZone+,high,55,Search,3,4.15429,1,3.689377,0.392628,0.04446597,0,1,0,0
