subjedct_id,high,low,medium
1,170.75,130.0,93.75
2,97.5,68.75,67.5
3,106.25,90.75,89.75
4,211.0,110.75,71.5
5,226.75,195.5,149.25
6,248.0,178.5,243.0
7,260.5,97.25,168.0
8,158.5,117.0,148.0
9,154.5,98.0,86.5
10,149.75,88.25,189.5
11,232.75,230.25,173.5
12,224.75,201.0,211.75
13,185.5,151.75,165.0
14,127.5,37.5,115.75
15,151.75,90.0,153.5
16,87.5,73.5,63.0
17,195.25,132.75,146.5
18,219.0,161.75,182.5
19,238.25,157.5,182.25
20,176.5,91.25,120.75
21,111.25,41.0,75.25
22,217.5,130.5,129.75
23,218.5,169.5,223.5
24,78.75,25.0,38.0
