subjedct_id,Conehigh,Conelow,Conemedium,Gravityhigh,Gravitylow,Gravitymedium,Threehigh,Threelow,Threemedium,Twohigh,Twolow,Twomedium
1,154.0,83.0,11.0,248.0,195.0,76.0,84.0,135.0,88.0,159.0,140.0,243.0
2,3.0,52.0,18.0,210.0,194.0,206.0,70.0,68.0,40.0,142.0,15.0,28.0
3,12.0,19.0,86.0,164.0,175.0,160.0,149.0,123.0,59.0,130.0,75.0,94.0
4,202.0,208.0,55.0,258.0,85.0,158.0,146.0,96.0,65.0,213.0,71.0,57.0
5,186.0,141.0,113.0,280.0,272.0,228.0,266.0,143.0,163.0,112.0,173.0,67.0
6,268.0,182.0,211.0,284.0,201.0,237.0,232.0,121.0,274.0,156.0,212.0,240.0
7,178.0,115.0,134.0,282.0,116.0,205.0,263.0,111.0,120.0,250.0,81.0,230.0
8,27.0,29.0,53.0,242.0,256.0,200.0,104.0,48.0,162.0,275.0,128.0,187.0
9,82.0,21.0,43.0,239.0,199.0,131.0,49.0,16.0,64.0,246.0,192.0,150.0
10,152.0,90.0,117.0,180.0,196.0,245.0,47.0,62.0,262.0,277.0,51.0,102.0
11,34.0,247.0,56.0,286.0,283.0,216.0,278.0,157.0,241.0,261.0,161.0,166.0
12,267.0,281.0,285.0,273.0,224.0,259.0,119.0,77.0,145.0,217.0,220.0,165.0
13,63.0,17.0,97.0,223.0,219.0,231.0,244.0,190.0,106.0,226.0,171.0,218.0
14,172.0,6.0,72.0,184.0,122.0,151.0,155.0,44.0,233.0,42.0,39.0,46.0
15,89.0,20.0,91.0,265.0,198.0,238.0,101.0,108.0,147.0,78.0,66.0,127.0
16,221.0,229.0,144.0,169.0,30.0,114.0,37.0,24.0,26.0,4.0,1.0,14.0
17,87.0,41.0,36.0,260.0,207.0,251.0,183.0,103.0,93.0,176.0,179.0,188.0
18,80.0,129.0,167.0,264.0,197.0,269.0,279.0,215.0,191.0,204.0,136.0,58.0
19,214.0,61.0,133.0,288.0,225.0,271.0,222.0,138.0,118.0,132.0,193.0,170.0
20,124.0,236.0,105.0,254.0,79.0,110.0,177.0,74.0,209.0,100.0,7.0,69.0
21,31.0,2.0,137.0,276.0,189.0,153.0,25.0,8.0,32.0,50.0,23.0,22.0
22,98.0,95.0,185.0,249.0,148.0,168.0,257.0,109.0,126.0,235.0,203.0,73.0
23,38.0,107.0,99.0,287.0,252.0,270.0,255.0,174.0,253.0,181.0,125.0,227.0
24,234.0,33.0,60.0,139.0,54.0,92.0,10.0,5.0,45.0,13.0,35.0,9.0
