subjedct_id,high,low,medium
1,166.75,145.0,123.0
2,110.5,92.5,105.25
3,113.0,126.5,94.5
4,207.0,33.75,107.75
5,228.75,247.0,188.75
6,257.75,121.5,191.25
7,259.25,124.0,133.5
8,233.5,116.0,191.25
9,251.5,181.0,243.0
10,149.0,79.5,136.0
11,196.0,193.0,169.0
12,198.5,200.25,163.5
13,174.0,133.5,151.5
14,147.25,65.75,103.25
15,127.5,98.5,90.25
16,96.25,56.25,49.25
17,186.0,151.75,195.25
18,228.25,115.0,205.5
19,142.25,141.25,191.75
20,225.25,69.25,30.0
21,91.0,53.0,86.0
22,209.75,133.5,99.75
23,191.5,166.25,188.5
24,72.75,22.25,36.75
