subjedct_id,Conehigh,Conelow,Conemedium,Gravityhigh,Gravitylow,Gravitymedium,Threehigh,Threelow,Threemedium,Twohigh,Twolow,Twomedium
1,261.0,73.0,114.0,243.0,241.0,57.0,38.0,174.0,146.0,99.0,79.0,198.0
2,46.0,78.0,173.0,112.0,96.0,221.0,140.0,211.0,50.0,175.0,5.0,10.0
3,88.0,60.0,44.0,200.0,130.0,238.0,54.0,186.0,55.0,118.0,171.0,39.0
4,263.0,4.0,216.0,245.0,19.0,102.0,91.0,53.0,9.0,235.0,35.0,116.0
5,286.0,288.0,240.0,223.0,251.0,274.0,258.0,196.0,127.0,167.0,237.0,66.0
6,184.0,23.0,71.0,285.0,185.0,206.0,276.0,148.0,281.0,268.0,142.0,248.0
7,287.0,227.0,132.0,282.0,47.0,150.0,257.0,199.0,141.0,157.0,22.0,135.0
8,225.0,51.0,111.0,249.0,255.0,230.0,232.0,41.0,266.0,215.0,106.0,159.0
9,212.0,275.0,252.0,279.0,236.0,260.0,272.0,143.0,253.0,191.0,43.0,177.0
10,125.0,77.0,181.0,193.0,144.0,169.0,120.0,85.0,166.0,214.0,34.0,63.0
11,129.0,168.0,187.0,283.0,250.0,246.0,126.0,151.0,101.0,208.0,218.0,128.0
12,87.0,269.0,197.0,271.0,207.0,222.0,247.0,138.0,80.0,123.0,182.0,170.0
13,122.0,209.0,273.0,195.0,104.0,161.0,242.0,95.0,65.0,145.0,134.0,113.0
14,75.0,28.0,100.0,163.0,52.0,59.0,259.0,117.0,165.0,94.0,64.0,109.0
15,67.0,12.0,1.0,194.0,179.0,190.0,149.0,110.0,68.0,119.0,82.0,98.0
16,278.0,176.0,121.0,81.0,3.0,48.0,29.0,18.0,49.0,8.0,26.0,6.0
17,76.0,25.0,192.0,219.0,254.0,231.0,270.0,108.0,210.0,188.0,201.0,136.0
18,205.0,107.0,284.0,280.0,92.0,229.0,202.0,139.0,256.0,180.0,137.0,31.0
19,131.0,147.0,233.0,156.0,154.0,267.0,203.0,115.0,83.0,93.0,172.0,155.0
20,239.0,36.0,16.0,277.0,158.0,32.0,183.0,84.0,58.0,164.0,14.0,13.0
21,45.0,69.0,105.0,244.0,124.0,153.0,27.0,7.0,37.0,24.0,40.0,70.0
22,234.0,160.0,89.0,228.0,217.0,133.0,265.0,90.0,162.0,86.0,72.0,42.0
23,17.0,204.0,103.0,262.0,213.0,224.0,264.0,178.0,220.0,189.0,74.0,226.0
24,61.0,20.0,97.0,62.0,33.0,56.0,152.0,30.0,15.0,21.0,11.0,2.0
