Subject,techniquedensity,trial_time,aligned(trial_time) for techniquedensity,ART-C(trial_time) for techniquedensity
10,Conehigh,3.4443436,-1.4660496747337962701388888889,82
10,Conelow,2.1858642,-2.7245290747337962701388888889,21
10,Conemedium,2.5251282,-2.3852650747337962701388888889,43
10,Gravityhigh,6.938586599999999,2.0281933252662027298611111111,239
10,Gravitylow,5.6163926,0.7059993252662037298611111111,199
10,Gravitymedium,4.174026400000001,-0.7363668747337952701388888889,131
10,Threehigh,2.6285766,-2.2818166747337962701388888889,49
10,Threelow,1.9291992,-2.9811940747337962701388888889,16
10,Threemedium,3.1083312,-1.8020620747337962701388888889,64
10,Twohigh,7.2099124,2.2995191252662037298611111111,246
10,Twolow,5.479715000000001,0.5693217252662047298611111111,192
10,Twomedium,4.5278824,-0.3825108747337962701388888889,150
11,Conehigh,4.6167602,-0.2936330747337962701388888889,152
11,Conelow,3.5473386,-1.3630546747337962701388888889,90
11,Conemedium,3.9734494,-0.9369438747337962701388888889,117
11,Gravityhigh,5.2930410000000006,0.3826477252662043298611111111,180
11,Gravitylow,5.5577666,0.6473733252662037298611111111,196
11,Gravitymedium,7.1755792,2.2651859252662037298611111111,245
11,Threehigh,2.6156432,-2.2947500747337962701388888889,47
11,Threelow,3.0690798,-1.8413134747337962701388888889,62
11,Threemedium,8.094446000000001,3.1840527252662047298611111111,262
11,Twohigh,9.407984,4.4975907252662037298611111111,277
11,Twolow,2.6738983999999997,-2.2364948747337965701388888889,51
11,Twomedium,3.7862732,-1.1241200747337962701388888889,102
12,Conehigh,2.425377,-2.4850162747337962701388888889,34
12,Conelow,7.3231348,2.4127415252662037298611111111,247
12,Conemedium,2.91344,-1.9969532747337962701388888889,56
12,Gravityhigh,12.0314636,7.1210703252662037298611111111,286
12,Gravitylow,10.711761,5.8013677252662037298611111111,283
12,Gravitymedium,6.1648742,1.2544809252662037298611111111,216
12,Threehigh,9.448871800000001,4.5384785252662047298611111111,278
12,Threelow,4.8095922,-0.1008010747337962701388888889,157
12,Threemedium,7.0772762,2.1668829252662037298611111111,241
12,Twohigh,8.021035,3.1106417252662037298611111111,261
12,Twolow,4.929004000000001,0.0186107252662047298611111111,161
12,Twomedium,5.0122636,0.1018703252662037298611111111,166
13,Conehigh,8.2894108,3.3790175252662037298611111111,267
13,Conelow,9.998908199999999,5.0885149252662027298611111111,281
13,Conemedium,11.0461214,6.1357281252662037298611111111,285
13,Gravityhigh,9.0378338,4.1274405252662037298611111111,273
13,Gravitylow,6.3986298,1.4882365252662037298611111111,224
13,Gravitymedium,7.8659229999999996,2.9555297252662033298611111111,259
13,Threehigh,4.017034799999999,-0.8933584747337972701388888889,119
13,Threelow,3.41870125,-1.4916920247337962701388888889,77
13,Threemedium,4.399208,-0.5111852747337962701388888889,145
13,Twohigh,6.185217199999999,1.2748239252662027298611111111,217
13,Twolow,6.3532592,1.4428659252662037298611111111,220
13,Twomedium,4.9938720000000005,0.0834787252662042298611111111,165
14,Conehigh,3.082352,-1.8280412747337962701388888889,63
14,Conelow,2.0075868,-2.9028064747337962701388888889,17
14,Conemedium,3.6984336,-1.2119596747337962701388888889,97
14,Gravityhigh,6.3815108,1.4711175252662037298611111111,223
14,Gravitylow,6.3124876,1.4020943252662037298611111111,219
14,Gravitymedium,6.6325372,1.7221439252662037298611111111,231
14,Threehigh,7.1179694,2.2075761252662037298611111111,244
14,Threelow,5.459082,0.5486887252662037298611111111,190
14,Threemedium,3.843286,-1.0671072747337962701388888889,106
14,Twohigh,6.4384092,1.5280159252662037298611111111,226
14,Twolow,5.074010400000001,0.1636171252662047298611111111,171
14,Twomedium,6.3113168,1.4009235252662037298611111111,218
15,Conehigh,5.0757576,0.1653643252662037298611111111,172
15,Conelow,1.6649170000000002,-3.2454762747337960701388888889,6
15,Conemedium,3.3582030000000005,-1.5521902747337957701388888889,72
15,Gravityhigh,5.3210232,0.4106299252662037298611111111,184
15,Gravitylow,4.0820252,-0.8283680747337962701388888889,122
15,Gravitymedium,4.535819999999999,-0.3745732747337972701388888889,151
15,Threehigh,4.6705078,-0.2398854747337962701388888889,155
15,Threelow,2.5284362,-2.3819570747337962701388888889,44
15,Threemedium,6.6999886,1.7895953252662037298611111111,233
15,Twohigh,2.5119292,-2.3984640747337962701388888889,42
15,Twolow,2.488141,-2.4222522747337962701388888889,39
15,Twomedium,2.5658232,-2.3445700747337962701388888889,46
16,Conehigh,3.525271,-1.3851222747337962701388888889,89
16,Conelow,2.1495667999999997,-2.7608264747337965701388888889,20
16,Conemedium,3.5808746,-1.3295186747337962701388888889,91
16,Gravityhigh,8.244587,3.3341937252662037298611111111,265
16,Gravitylow,5.5995484,0.6891551252662037298611111111,198
16,Gravitymedium,6.9276946,2.0173013252662037298611111111,238
16,Threehigh,3.7795312,-1.1308620747337962701388888889,101
16,Threelow,3.8853332000000003,-1.0250600747337959701388888889,108
16,Threemedium,4.4259506,-0.4844426747337962701388888889,147
16,Twohigh,3.4225342,-1.4878590747337962701388888889,78
16,Twolow,3.1637086,-1.7466846747337962701388888889,66
16,Twomedium,4.1538696,-0.7565236747337962701388888889,127
17,Conehigh,6.3571776,1.4467843252662037298611111111,221
17,Conelow,6.5714722,1.6610789252662037298611111111,229
17,Conemedium,4.3579956,-0.5523976747337962701388888889,144
17,Gravityhigh,5.0544792,0.1440859252662037298611111111,169
17,Gravitylow,2.3642578,-2.5461354747337962701388888889,30
17,Gravitymedium,3.9565794,-0.9538138747337962701388888889,114
17,Threehigh,2.4590332,-2.4513600747337962701388888889,37
17,Threelow,2.2006106,-2.7097826747337962701388888889,24
17,Threemedium,2.3096436,-2.6007496747337962701388888889,26
17,Twohigh,1.60597,-3.3044232747337962701388888889,4
17,Twolow,1.4415042,-3.4688890747337962701388888889,1
17,Twomedium,1.8693832000000001,-3.0410100747337961701388888889,14
18,Conehigh,3.4974016,-1.4129916747337962701388888889,87
18,Conelow,2.5030546,-2.4073386747337962701388888889,41
18,Conemedium,2.4531158,-2.4572774747337962701388888889,36
18,Gravityhigh,7.8767144,2.9663211252662037298611111111,260
18,Gravitylow,5.9699852,1.0595919252662037298611111111,207
18,Gravitymedium,7.4233428,2.5129495252662037298611111111,251
18,Threehigh,5.312481,0.4020877252662037298611111111,183
18,Threelow,3.7888396,-1.1215536747337962701388888889,103
