Subject,technique,density,trial_time,aligned(trial_time) for technique,aligned(trial_time) for density,aligned(trial_time) for technique*density,ART(trial_time) for technique,ART(trial_time) for density,ART(trial_time) for technique*density
10,Cone,high,3.4443436,-1.7503596702430555256944444445,-0.0242640898379630045138888889,-1.4983439271527777732638888889,66,165,66
10,Cone,low,2.1858642,-2.5670387864930554840277777778,-2.3652584056712962440972222222,-1.2325081275694444920138888889,29,28,84
10,Cone,medium,2.5251282,-2.2584453674652778006944444445,-1.6456193367129630347222222223,-1.3042897775000000180555555555,42,66,79
10,Gravity,high,6.938586599999999,0.2609946488773138631944444448,-0.5737345023379639086805555552,-0.5649256587731490663194444445,171,126,118
10,Gravity,low,5.6163926,1.7474609634606481923611111111,-0.6115833873379628607638888889,-0.3628044591898147850694444445,234,121,138
10,Gravity,medium,4.174026400000001,-0.0106298365393508659722222222,-1.9586285374074063930555555556,-2.2162163091203693111111111111,160,49,31
10,Three,high,2.6285766,-3.0035979962615740618055555556,-1.7075534440046296545138888889,-2.7441619553009258871527777778,12,63,15
10,Three,low,1.9291992,-2.1279419420949074659722222222,-2.3562125894212963399305555555,-1.9192241557175926059027777778,48,31,41
10,Three,medium,3.1083312,-1.9335328858449072826388888889,-1.7507578832407406305555555556,-1.1511378056481481319444444444,54,59,89
10,Two,high,7.2099124,1.5560294530439815951388888889,2.8853981372453704871527777778,1.8704979766435185975694444444,220,264,243
10,Two,low,5.479715000000001,1.0975987988773157534722222222,0.9026522834953713642361111111,1.6646157762268528788194444444,207,212,236
10,Two,medium,4.5278824,-0.1672982761226851590277777778,0.0488008584259259777777777777,0.3017375262962963527777777778,154,172,179
11,Cone,high,4.6167602,-0.5779430702430555256944444445,1.1481525101620369954861111111,-0.3259273271527777732638888889,131,220,140
11,Cone,low,3.5473386,-1.2055643864930554840277777778,-1.0037840056712962440972222222,0.1289662724305555079861111111,95,100,168
11,Cone,medium,3.9734494,-0.8101241674652778006944444445,-0.1972981367129630347222222223,0.1440314224999999819444444445,119,157,171
11,Gravity,high,5.2930410000000006,-1.3845509511226845368055555552,-2.2192801023379623086805555552,-2.2104712587731474663194444445,86,36,32
11,Gravity,low,5.5577666,1.6888349634606481923611111111,-0.6702093873379628607638888889,-0.4214304591898147850694444445,229,118,130
11,Gravity,medium,7.1755792,2.9909229634606481340277777778,1.0429242625925926069444444444,0.7853364908796296888888888889,263,217,209
11,Three,high,2.6156432,-3.0165313962615740618055555556,-1.7204868440046296545138888889,-2.7570953553009258871527777778,11,61,14
11,Three,low,3.0690798,-0.9880613420949074659722222222,-1.2163319894212963399305555555,-0.7793435557175926059027777778,107,84,108
11,Three,medium,8.094446000000001,3.0525819141550937173611111111,3.2353569167592603694444444444,3.8349769943518528680555555556,264,268,276
11,Two,high,9.407984,3.7541010530439815951388888889,5.0834697372453704871527777778,4.0685695766435185975694444444,272,282,279
11,Two,low,2.6738983999999997,-1.7082178011226855465277777778,-1.9031643165046299357638888889,-1.1412008237731484211805555556,69,51,90
11,Two,medium,3.7862732,-0.9089074761226851590277777778,-0.6928083415740740222222222223,-0.4398716737037036472222222222,114,116,128
12,Cone,high,2.425377,-2.7693262702430555256944444445,-1.0432306898379630045138888889,-2.5173105271527777732638888889,20,97,21
12,Cone,low,7.3231348,2.5702318135069445159722222222,2.7720121943287037559027777778,3.9047624724305555079861111111,258,262,277
12,Cone,medium,2.91344,-1.8701335674652778006944444445,-1.2573075367129630347222222223,-0.9159779775000000180555555555,59,80,101
12,Gravity,high,12.0314636,5.3538716488773148631944444448,4.5191424976620370913194444448,4.5279513412268519336805555555,284,278,282
12,Gravity,low,10.711761,6.8428293634606481923611111111,4.4837850126620371392361111111,4.7325639408101852149305555555,286,277,283
12,Gravity,medium,6.1648742,1.9802179634606481340277777778,0.0322192625925926069444444444,-0.2253685091203703111111111111,240,169,145
12,Three,high,9.448871800000001,3.8166972037384269381944444444,5.1127417559953713454861111111,4.0761332446990751128472222222,274,283,280
12,Three,low,4.8095922,0.7524510579050925340277777778,0.5241804105787036600694444445,0.9611688442824073940972222222,196,195,214
12,Three,medium,7.0772762,2.0354121141550927173611111111,2.2181871167592593694444444444,2.8178071943518518680555555556,242,249,265
12,Two,high,8.021035,2.3671520530439815951388888889,3.6965207372453704871527777778,2.6816205766435185975694444444,250,273,262
12,Two,low,4.929004000000001,0.5468877988773157534722222222,0.3519412834953713642361111111,1.1139047762268528788194444444,184,187,218
12,Two,medium,5.0122636,0.3170829238773148409722222222,0.5331820584259259777777777777,0.7861187262962963527777777778,174,196,210
13,Cone,high,8.2894108,3.0947075297569444743055555555,4.8208031101620369954861111111,3.3467232728472222267361111111,265,279,274
13,Cone,low,9.998908199999999,5.2460052135069435159722222222,5.4477855943287027559027777778,6.5805358724305545079861111111,283,285,285
13,Cone,medium,11.0461214,6.2625478325347221993055555555,6.8753738632870369652777777777,7.2167034224999999819444444445,285,286,286
13,Gravity,high,9.0378338,2.3602418488773148631944444448,1.5255126976620370913194444448,1.5343215412268519336805555555,249,230,234
13,Gravity,low,6.3986298,2.5296981634606481923611111111,0.1706538126620371392361111111,0.4194327408101852149305555555,256,181,193
13,Gravity,medium,7.8659229999999996,3.6812667634606477340277777778,1.7332680625925922069444444444,1.4756802908796292888888888889,271,233,232
13,Three,high,4.017034799999999,-1.6151397962615750618055555556,-0.3190952440046306545138888889,-1.3557037553009268871527777778,75,149,74
13,Three,low,3.41870125,-0.6384398920949074659722222222,-0.8667105394212963399305555555,-0.4297221057175926059027777778,126,104,129
