subjedct_id,Cone_high,Cone_low,Cone_medium,Gravity_high,Gravity_low,Gravity_medium,Three_high,Three_low,Three_medium,Two_high,Two_low,Two_medium
1,165.0,28.0,66.0,126.0,121.0,49.0,63.0,31.0,59.0,264.0,212.0,172.0
2,220.0,100.0,157.0,36.0,118.0,217.0,61.0,84.0,268.0,282.0,51.0,116.0
3,97.0,262.0,80.0,278.0,277.0,169.0,283.0,195.0,249.0,273.0,187.0,196.0
4,279.0,285.0,286.0,230.0,181.0,233.0,149.0,104.0,134.0,241.0,234.0,194.0
5,143.0,17.0,133.0,90.0,177.0,192.0,263.0,222.0,99.0,246.0,191.0,236.0
6,231.0,7.0,108.0,38.0,41.0,68.0,186.0,58.0,237.0,55.0,44.0,50.0
7,174.0,26.0,124.0,204.0,120.0,206.0,127.0,140.0,136.0,102.0,74.0,148.0
8,265.0,244.0,182.0,22.0,1.0,39.0,53.0,45.0,16.0,10.0,4.0,15.0
9,168.0,47.0,62.0,188.0,151.0,225.0,216.0,130.0,85.0,209.0,203.0,214.0
10,164.0,142.0,208.0,202.0,119.0,253.0,284.0,240.0,199.0,226.0,146.0,70.0
11,223.0,95.0,30.0,158.0,113.0,11.0,105.0,162.0,76.0,197.0,150.0,258.0
12,259.0,71.0,167.0,288.0,183.0,257.0,245.0,163.0,107.0,161.0,213.0,198.0
13,200.0,248.0,147.0,173.0,8.0,35.0,211.0,103.0,218.0,122.0,6.0,83.0
14,94.0,5.0,171.0,238.0,111.0,73.0,48.0,21.0,24.0,65.0,27.0,33.0
15,185.0,106.0,221.0,159.0,56.0,93.0,272.0,141.0,114.0,254.0,219.0,91.0
16,101.0,115.0,135.0,287.0,224.0,255.0,271.0,207.0,261.0,215.0,132.0,243.0
17,269.0,43.0,89.0,3.0,2.0,19.0,20.0,13.0,32.0,23.0,42.0,12.0
18,54.0,57.0,46.0,72.0,112.0,155.0,98.0,92.0,29.0,166.0,14.0,40.0
19,67.0,25.0,117.0,18.0,96.0,81.0,180.0,156.0,52.0,160.0,86.0,109.0
20,250.0,227.0,79.0,184.0,9.0,78.0,178.0,125.0,60.0,232.0,82.0,69.0
21,242.0,154.0,152.0,251.0,260.0,189.0,275.0,175.0,179.0,139.0,193.0,77.0
22,280.0,205.0,239.0,270.0,128.0,201.0,252.0,153.0,276.0,190.0,228.0,256.0
23,235.0,123.0,170.0,266.0,34.0,145.0,274.0,144.0,110.0,267.0,88.0,247.0
24,87.0,37.0,75.0,137.0,229.0,131.0,129.0,64.0,176.0,281.0,138.0,210.0
