subjedct_id,Cone_high,Cone_low,Cone_medium,Gravity_high,Gravity_low,Gravity_medium,Three_high,Three_low,Three_medium,Two_high,Two_low,Two_medium
1,66.0,29.0,42.0,171.0,234.0,160.0,12.0,48.0,54.0,220.0,207.0,154.0
2,131.0,95.0,119.0,86.0,229.0,263.0,11.0,107.0,264.0,272.0,69.0,114.0
3,20.0,258.0,59.0,284.0,286.0,240.0,274.0,196.0,242.0,250.0,184.0,174.0
4,265.0,283.0,285.0,249.0,256.0,271.0,75.0,126.0,125.0,182.0,239.0,173.0
5,49.0,21.0,101.0,145.0,252.0,253.0,217.0,215.0,97.0,197.0,191.0,224.0
6,156.0,10.0,85.0,88.0,169.0,175.0,111.0,77.0,228.0,9.0,57.0,47.0
7,73.0,28.0,96.0,222.0,233.0,262.0,61.0,151.0,127.0,44.0,93.0,135.0
8,209.0,236.0,139.0,74.0,79.0,149.0,8.0,60.0,22.0,1.0,15.0,18.0
9,72.0,43.0,40.0,210.0,246.0,268.0,144.0,148.0,87.0,136.0,200.0,194.0
10,65.0,128.0,170.0,218.0,230.0,279.0,276.0,245.0,179.0,164.0,153.0,64.0
11,134.0,92.0,14.0,189.0,226.0,122.0,46.0,167.0,76.0,121.0,158.0,251.0
12,201.0,70.0,129.0,288.0,257.0,281.0,195.0,168.0,105.0,82.0,208.0,176.0
13,99.0,241.0,110.0,199.0,137.0,146.0,140.0,124.0,202.0,55.0,24.0,83.0
14,19.0,7.0,133.0,261.0,223.0,180.0,6.0,41.0,26.0,13.0,45.0,31.0
15,81.0,103.0,183.0,190.0,186.0,198.0,244.0,152.0,116.0,206.0,214.0,89.0
16,23.0,115.0,102.0,287.0,269.0,280.0,243.0,205.0,255.0,143.0,147.0,235.0
17,219.0,39.0,67.0,35.0,100.0,130.0,2.0,34.0,32.0,3.0,53.0,16.0
18,4.0,52.0,25.0,123.0,225.0,232.0,38.0,117.0,30.0,90.0,33.0,37.0
19,5.0,27.0,91.0,71.0,213.0,193.0,98.0,162.0,50.0,80.0,109.0,106.0
20,181.0,212.0,58.0,204.0,141.0,187.0,94.0,142.0,56.0,177.0,104.0,63.0
21,166.0,138.0,118.0,266.0,282.0,247.0,260.0,172.0,159.0,68.0,192.0,78.0
22,267.0,185.0,211.0,277.0,237.0,259.0,203.0,161.0,278.0,113.0,227.0,248.0
23,163.0,120.0,132.0,273.0,165.0,221.0,254.0,155.0,108.0,231.0,112.0,238.0
24,17.0,36.0,51.0,178.0,275.0,216.0,62.0,84.0,157.0,270.0,150.0,188.0
