Subject,techniquedensity,trial_time,aligned(trial_time) for techniquedensity,ART-C(trial_time) for techniquedensity
10,Conehigh,8.7656798,1.3879031277199074239583333333,212
10,Conelow,14.921848800000001,7.5440721277199084239583333330,275
10,Conemedium,11.4357786,4.0580019277199074239583333333,252
10,Gravityhigh,16.2803528,8.902576127719907423958333333,279
10,Gravitylow,10.043568,2.6657913277199074239583333333,236
10,Gravitymedium,12.098552999999999,4.7207763277199064239583333333,260
10,Threehigh,14.0618652,6.6840885277199074239583333333,272
10,Threelow,6.7191654,-0.6586112722800925760416666667,143
10,Threemedium,11.4486378,4.0708611277199074239583333333,253
10,Twohigh,7.9282466,0.5504699277199074239583333333,191
10,Twolow,4.074292,-3.3034846722800925760416666667,43
10,Twomedium,7.342563666666666,-0.0352130056134265760416666667,177
11,Conehigh,6.195301,-1.1824756722800925760416666667,125
11,Conelow,5.098119800000001,-2.2796568722800915760416666667,77
11,Conemedium,7.5933475999999995,0.2155709277199069239583333333,181
11,Gravityhigh,7.9742482,0.5964715277199074239583333333,193
11,Gravitylow,6.721818400000001,-0.6559582722800915760416666667,144
11,Gravitymedium,7.0973602,-0.2804164722800925760416666667,169
11,Threehigh,6.1134268,-1.2643498722800925760416666667,120
11,Threelow,5.378701,-1.9990756722800925760416666667,85
11,Threemedium,7.0712052,-0.3065714722800925760416666667,166
11,Twohigh,8.8388638,1.4610871277199074239583333333,214
11,Twolow,3.6841584,-3.6936182722800925760416666667,34
11,Twomedium,4.6323822,-2.7453944722800925760416666667,63
12,Conehigh,6.2543058,-1.1234708722800925760416666667,129
12,Conelow,7.0834030000000014,-0.2943736722800911760416666667,168
12,Conemedium,7.7461796,0.3684029277199074239583333333,187
12,Gravityhigh,17.171186,9.793409327719907423958333333,283
12,Gravitylow,11.0878422,3.7100655277199074239583333333,250
12,Gravitymedium,10.9623164,3.5845397277199074239583333333,246
12,Threehigh,6.197186,-1.1805906722800925760416666667,126
12,Threelow,6.838742999999999,-0.5390336722800935760416666667,151
12,Threemedium,5.6266266,-1.7511500722800925760416666667,101
12,Twohigh,8.6199554,1.2421787277199074239583333333,208
12,Twolow,9.0113586,1.6335819277199074239583333333,218
12,Twomedium,6.2346316,-1.1431450722800925760416666667,128
13,Conehigh,5.468872,-1.9089046722800925760416666667,87
13,Conelow,13.437769,6.0599923277199074239583333333,269
13,Conemedium,8.2140306,0.8362539277199074239583333333,197
13,Gravityhigh,13.5845908,6.2068141277199074239583333333,271
13,Gravitylow,8.5093632,1.1315865277199074239583333333,207
13,Gravitymedium,9.1405704,1.7627937277199074239583333333,222
13,Threehigh,10.9869686,3.6091919277199074239583333333,247
13,Threelow,6.624615199999999,-0.7531614722800935760416666667,138
13,Threemedium,5.1345948,-2.2431818722800925760416666667,80
13,Twohigh,6.141114,-1.2366626722800925760416666667,123
13,Twolow,7.6393692,0.2615925277199074239583333333,182
13,Twomedium,7.1042508,-0.2735258722800925760416666667,170
14,Conehigh,6.1342014,-1.2435752722800925760416666667,122
14,Conelow,8.642773199999999,1.2649965277199064239583333333,209
14,Conemedium,14.532138800000002,7.1543621277199094239583333333,273
14,Gravityhigh,8.1080994,0.7303227277199074239583333333,195
14,Gravitylow,5.6719512000000005,-1.7058254722800920760416666667,104
14,Gravitymedium,6.9638808,-0.4138958722800925760416666667,161
14,Threehigh,10.4496468,3.0718701277199074239583333333,242
14,Threelow,5.5502678,-1.8275088722800925760416666667,95
14,Threemedium,4.68107575,-2.6967009222800925760416666667,65
14,Twohigh,6.7296576,-0.6481190722800925760416666667,145
14,Twolow,6.3897645999999995,-0.9880120722800930760416666667,134
14,Twomedium,5.9805418,-1.3972348722800925760416666667,113
15,Conehigh,5.062207,-2.3155696722800925760416666667,75
15,Conelow,3.5530518,-3.8247248722800925760416666667,28
15,Conemedium,5.6113644,-1.7664122722800925760416666667,100
15,Gravityhigh,7.0303062,-0.3474704722800925760416666667,163
15,Gravitylow,4.307422,-3.0703546722800925760416666667,52
15,Gravitymedium,4.4799422,-2.8978344722800925760416666667,59
15,Threehigh,12.0956794,4.7179027277199074239583333333,259
15,Threelow,6.0320862,-1.3456904722800925760416666667,117
15,Threemedium,7.0451912,-0.3325854722800925760416666667,165
15,Twohigh,5.5367216,-1.8410550722800925760416666667,94
15,Twolow,4.6594664,-2.7183102722800925760416666667,64
15,Twomedium,5.8393074,-1.5384692722800925760416666667,109
16,Conehigh,4.739180599999999,-2.6385960722800935760416666667,67
16,Conelow,3.157251,-4.2205256722800925760416666667,12
16,Conemedium,1.7764510000000002,-5.6013256722800923760416666667,1
16,Gravityhigh,8.0466522,0.6688755277199074239583333333,194
16,Gravitylow,7.53212875,0.1543520777199074239583333333,179
16,Gravitymedium,7.7962688,0.4184921277199074239583333333,190
16,Threehigh,6.8050804,-0.5726962722800925760416666667,149
16,Threelow,5.8725034,-1.5052732722800925760416666667,110
16,Threemedium,4.8163728,-2.5614038722800925760416666667,68
16,Twohigh,6.1125486,-1.2652280722800925760416666667,119
16,Twolow,5.2806885999999995,-2.0970880722800930760416666667,82
16,Twomedium,5.5958494000000005,-1.7819272722800920760416666667,98
17,Conehigh,16.0496704,8.671893727719907423958333333,278
17,Conelow,7.309021799999999,-0.0687548722800935760416666667,176
17,Conemedium,6.128766000000001,-1.2490106722800915760416666667,121
17,Gravityhigh,5.1873542,-2.1904224722800925760416666667,81
17,Gravitylow,2.4896605999999997,-4.8881160722800928760416666667,3
17,Gravitymedium,4.210376,-3.1674006722800925760416666667,48
