Subject,technique,density,trial_time,aligned(trial_time) for technique,aligned(trial_time) for density,aligned(trial_time) for technique*density,ART(trial_time) for technique,ART(trial_time) for density,ART(trial_time) for technique*density
10,Cone,high,8.7656798,0.6270487388310186572916666663,1.8134511021990740510416666663,-0.0852433924768518677083333333,193,224,157
10,Cone,low,14.921848800000001,8.197140732581019444791666666,7.0945029579282415999999999996,8.359965745543982370833333333,282,277,283
10,Cone,medium,11.4357786,4.1657877117476851697916666666,3.6519068877893517739583333333,4.2851385948495369218750000000,256,253,262
10,Gravity,high,16.2803528,6.8549700985532408572916666663,6.8339819355324075927083333333,6.2220390811342594739583333337,275,275,274
10,Gravity,low,10.043568,4.0870888631365739947916666663,1.7770605620949074916666666666,2.2742944191550927125000000004,254,222,235
10,Gravity,medium,12.098552999999999,5.3470848214699064197916666663,3.6258134711226843656250000000,3.7405224684606472635416666670,267,252,255
10,Three,high,14.0618652,5.0595808804976851836805555552,6.5296734396990739885416666663,5.4946322033564815434027777778,264,273,270
10,Three,low,6.7191654,0.5545766909143519545138888889,-0.2643708879050924791666666667,0.4409725413773147819444444445,189,152,180
10,Three,medium,11.4486378,4.4821808117476851336805555555,4.2519901836226851489583333333,4.5816879906828703329861111111,260,257,264
10,Two,high,7.9282466,-0.3356597741319443732638888890,2.3479312334490740635416666666,0.5745120517361111753472222223,153,234,185
10,Two,low,4.074292,-2.7539759907986111149305555556,-2.3594251212384259166666666667,-0.9904024102430555861111111110,54,73,126
10,Two,medium,7.342563666666666,0.3014080147569437600694444444,1.2847158350115734072916666667,1.6891123057291659649305555556,178,210,222
11,Cone,high,6.195301,-1.9433300611689813427083333337,-0.7569276978009259489583333337,-2.6556221924768518677083333333,90,134,54
11,Cone,low,5.098119800000001,-1.6265882674189805552083333334,-2.7292260420717584000000000001,-1.4637632544560176291666666666,106,59,106
11,Cone,medium,7.5933475999999995,0.3233567117476846697916666666,-0.1905241122106487260416666667,0.4427075948495364218750000000,179,157,181
11,Gravity,high,7.9742482,-1.4511345014467591427083333337,-1.4721226644675924072916666667,-2.0840655188657405260416666663,112,106,72
11,Gravity,low,6.721818400000001,0.7653392631365749947916666663,-1.5446890379050915083333333334,-1.0474551808449062874999999996,197,102,121
11,Gravity,medium,7.0973602,0.3458920214699074197916666663,-1.3753793288773146343750000000,-1.2606703315393517364583333330,181,116,114
11,Three,high,6.1134268,-2.8888575195023148163194444448,-1.4187649603009260114583333337,-2.4538061966435184565972222222,48,111,61
11,Three,low,5.378701,-0.7858877090856480454861111111,-1.6048352879050924791666666667,-0.8994918586226852180555555555,135,100,129
11,Three,medium,7.0712052,0.1047482117476851336805555555,-0.1254424163773148510416666667,0.2042553906828703329861111111,171,161,168
11,Two,high,8.8388638,0.5749574258680556267361111110,3.2585484334490740635416666666,1.4851292517361111753472222223,190,245,219
11,Two,low,3.6841584,-3.1441095907986111149305555556,-2.7495587212384259166666666667,-1.3805360102430555861111111110,40,57,110
11,Two,medium,4.6323822,-2.4087734519097222399305555556,-1.4254656316550925927083333333,-1.0210691609375000350694444444,69,110,123
12,Cone,high,6.2543058,-1.8843252611689813427083333337,-0.6979228978009259489583333337,-2.5966173924768518677083333333,92,139,57
12,Cone,low,7.0834030000000014,0.3586949325810198447916666666,-0.7439428420717580000000000001,0.5215199455439827708333333334,184,135,183
12,Cone,medium,7.7461796,0.4761887117476851697916666666,-0.0376921122106482260416666667,0.5955395948495369218750000000,187,167,189
12,Gravity,high,17.171186,7.7458032985532408572916666663,7.7248151355324075927083333333,7.1128722811342594739583333337,279,281,279
