Subject,technique,density,trial_time
10,Cone,high,8.7656798
10,Cone,low,14.921848800000001
10,Cone,medium,11.4357786
10,Gravity,high,16.2803528
10,Gravity,low,10.043568
10,Gravity,medium,12.098552999999999
10,Three,high,14.0618652
10,Three,low,6.7191654
10,Three,medium,11.4486378
10,Two,high,7.9282466
10,Two,low,4.074292
10,Two,medium,7.342563666666666
11,Cone,high,6.195301
11,Cone,low,5.098119800000001
11,Cone,medium,7.5933475999999995
11,Gravity,high,7.9742482
11,Gravity,low,6.721818400000001
11,Gravity,medium,7.0973602
11,Three,high,6.1134268
11,Three,low,5.378701
11,Three,medium,7.0712052
11,Two,high,8.8388638
11,Two,low,3.6841584
11,Two,medium,4.6323822
12,Cone,high,6.2543058
12,Cone,low,7.0834030000000014
12,Cone,medium,7.7461796
12,Gravity,high,17.171186
12,Gravity,low,11.0878422
12,Gravity,medium,10.9623164
12,Three,high,6.197186
12,Three,low,6.838742999999999
12,Three,medium,5.6266266
12,Two,high,8.6199554
12,Two,low,9.0113586
12,Two,medium,6.2346316
13,Cone,high,5.468872
13,Cone,low,13.437769
13,Cone,medium,8.2140306
13,Gravity,high,13.5845908
13,Gravity,low,8.5093632
13,Gravity,medium,9.1405704
13,Three,high,10.9869686
13,Three,low,6.624615199999999
13,Three,medium,5.1345948
13,Two,high,6.141114
13,Two,low,7.6393692
13,Two,medium,7.1042508
14,Cone,high,6.1342014
14,Cone,low,8.642773199999999
14,Cone,medium,14.532138800000002
14,Gravity,high,8.1080994
14,Gravity,low,5.6719512000000005
14,Gravity,medium,6.9638808
14,Three,high,10.4496468
14,Three,low,5.5502678
14,Three,medium,4.68107575
14,Two,high,6.7296576
14,Two,low,6.3897645999999995
14,Two,medium,5.9805418
15,Cone,high,5.062207
15,Cone,low,3.5530518
15,Cone,medium,5.6113644
15,Gravity,high,7.0303062
15,Gravity,low,4.307422
15,Gravity,medium,4.4799422
15,Three,high,12.0956794
15,Three,low,6.0320862
15,Three,medium,7.0451912
15,Two,high,5.5367216
15,Two,low,4.6594664
15,Two,medium,5.8393074
16,Cone,high,4.739180599999999
16,Cone,low,3.157251
16,Cone,medium,1.7764510000000002
16,Gravity,high,8.0466522
16,Gravity,low,7.53212875
16,Gravity,medium,7.7962688
16,Three,high,6.8050804
16,Three,low,5.8725034
16,Three,medium,4.8163728
16,Two,high,6.1125486
16,Two,low,5.2806885999999995
16,Two,medium,5.5958494000000005
17,Cone,high,16.0496704
17,Cone,low,7.309021799999999
17,Cone,medium,6.128766000000001
17,Gravity,high,5.1873542
17,Gravity,low,2.4896605999999997
17,Gravity,medium,4.210376
17,Three,high,3.5836182
17,Three,low,3.3391599999999997
17,Three,medium,4.2177736
17,Two,high,2.8540389999999998
17,Two,low,3.5378952
17,Two,medium,2.7931138
18,Cone,high,5.0676284
18,Cone,low,3.5277680000000005
18,Cone,medium,7.9690692
18,Gravity,high,9.040693999999998
18,Gravity,low,11.5860548
18,Gravity,medium,9.7621638
18,Three,high,13.4973458
18,Three,low,5.7339508
18,Three,medium,8.6629876
18,Two,high,7.7733282
18,Two,low,8.2718756
18,Two,medium,6.5232792
19,Cone,high,8.4336095
19,Cone,low,5.710937400000001
19,Cone,medium,17.605075
19,Gravity,high,16.3527048
19,Gravity,low,5.5324952
19,Gravity,medium,9.6618952
19,Three,high,8.3454554
19,Three,low,6.651812799999999
19,Three,medium,11.7410216
19,Two,high,7.558220399999999
19,Two,low,6.5406434
19,Two,medium,3.659857
2,Cone,high,12.1406278
2,Cone,low,4.9925353999999995
2,Cone,medium,5.9874968
2,Gravity,high,10.4527936
2,Gravity,low,10.3416068
2,Gravity,medium,4.3858016
2,Three,high,3.8988892
2,Three,low,7.3051024
2,Three,medium,6.768664200000001
2,Two,high,5.6093291999999995
2,Two,low,5.1013246
2,Two,medium,8.2474588
20,Cone,high,6.3347316
20,Cone,low,6.7745818
20,Cone,medium,9.840227200000001
20,Gravity,high,6.8877675
20,Gravity,low,6.863720600000001
20,Gravity,medium,12.697172
20,Three,high,8.3737288
20,Three,low,5.9916744
20,Three,medium,5.2811378
20,Two,high,5.5330932
20,Two,low,7.2497856
20,Two,medium,6.8663516
21,Cone,high,10.269029999999999
21,Cone,low,3.8594602
21,Cone,medium,3.2996094
21,Gravity,high,15.280719199999998
21,Gravity,low,6.899756999999999
21,Gravity,medium,3.6669846
21,Three,high,7.6685304
21,Three,low,5.284131
21,Three,medium,4.4165768
21,Two,high,7.0304756
21,Two,low,3.2469636
21,Two,medium,3.1649643999999997
22,Cone,high,4.1128202
22,Cone,low,4.8254186
22,Cone,medium,5.6719682
22,Gravity,high,10.638941399999998
22,Gravity,low,6.17312
22,Gravity,medium,6.8614679999999995
22,Three,high,3.53797
22,Three,low,2.8059632
22,Three,medium,3.8861024
22,Two,high,3.4965432
22,Two,low,3.943683
22,Two,medium,4.9152678000000005
23,Cone,high,9.957497
23,Cone,low,6.9528814
23,Cone,medium,5.496729
23,Gravity,high,9.6281804
23,Gravity,low,9.010440800000001
23,Gravity,medium,6.3765104
23,Three,high,12.6494272
23,Three,low,5.519867
23,Three,medium,6.9881096
23,Two,high,5.41900625
23,Two,low,4.9594056
23,Two,medium,4.0122194
24,Cone,high,3.302588
24,Cone,low,8.431397200000001
24,Cone,medium,5.652636599999999
24,Gravity,high,12.287768600000001
24,Gravity,low,8.809937399999999
24,Gravity,medium,9.3919674
24,Three,high,12.578505400000001
24,Three,low,7.432271
24,Three,medium,9.1016486
24,Two,high,7.7808948000000004
24,Two,low,5.036181600000001
24,Two,medium,9.4934566
25,Cone,high,4.5509034
25,Cone,low,3.4006225999999997
25,Cone,medium,5.5834468
25,Gravity,high,4.555786
25,Gravity,low,3.6761961999999997
25,Gravity,medium,4.3492552
25,Three,high,6.847423600000001
25,Three,low,3.6081392
25,Three,medium,3.2514220000000003
25,Two,high,3.4023074
25,Two,low,3.0909058000000003
25,Two,medium,2.169403
3,Cone,high,4.1487792
3,Cone,low,5.1010488
3,Cone,medium,7.2674316
3,Gravity,high,5.89572525
3,Gravity,low,5.560487
3,Gravity,medium,9.1301994
3,Three,high,6.658471799999999
3,Three,low,8.6804185
3,Three,medium,4.2428344000000004
3,Two,high,7.3067144
3,Two,low,2.7545653999999997
3,Two,medium,2.9291992000000002
4,Cone,high,5.4882966
4,Cone,low,4.5159296
4,Cone,medium,4.0987396
4,Gravity,high,8.2694614
4,Gravity,low,6.3068188
4,Gravity,medium,10.193807
4,Three,high,4.3203856
4,Three,low,7.7429074
4,Three,medium,4.3440492
4,Two,high,6.0828802
4,Two,low,7.1644326000000005
4,Two,medium,3.9174909999999996
5,Cone,high,12.3127074
5,Cone,low,2.6557372
5,Cone,medium,8.9271256
5,Gravity,high,10.7732838
5,Gravity,low,3.3942031999999998
5,Gravity,medium,5.6524596
5,Three,high,5.5318852000000005
5,Three,low,4.307525500000001
5,Three,medium,2.870215
5,Two,high,10.0079618
5,Two,low,3.750801
5,Two,medium,5.994007
6,Cone,high,18.20693725
6,Cone,low,23.5702465
6,Cone,medium,10.2995814
6,Gravity,high,9.193980400000001
6,Gravity,low,11.259794249999999
6,Gravity,medium,14.536910799999998
6,Three,high,11.9129196
6,Three,low,8.133985
6,Three,medium,6.201767200000001
6,Two,high,7.07428275
6,Two,low,10.1555392
6,Two,medium,4.6934998
7,Cone,high,7.716028400000001
7,Cone,low,3.445633
7,Cone,medium,4.9291994
7,Gravity,high,17.787007199999998
7,Gravity,low,7.7186584
7,Gravity,medium,8.4869686
7,Three,high,14.9617124
7,Three,low,6.7836978000000006
7,Three,medium,16.67839175
7,Two,high,13.202513
7,Two,low,6.7026118
7,Two,medium,11.0032108
8,Cone,high,18.6171296
8,Cone,low,9.611934
8,Cone,medium,6.3653414
8,Gravity,high,17.1463206
8,Gravity,low,4.1542208
8,Gravity,medium,6.8190028
8,Three,high,11.81111525
8,Three,low,8.261529
8,Three,medium,6.6925276
8,Two,high,6.888049
8,Two,low,3.4436864
8,Two,medium,6.470773400000001
9,Cone,high,9.439343
9,Cone,low,4.254553400000001
9,Cone,medium,5.8889774
9,Gravity,high,11.0535634
9,Gravity,low,11.722536199999999
9,Gravity,medium,9.7317046
9,Three,high,9.799951799999999
9,Three,low,3.9842771999999997
9,Three,medium,12.658399399999999
9,Two,high,8.9154094
9,Two,low,5.697436
9,Two,medium,6.9130584
