subject_id,technique,density,global_trial_idx,trial_type,trial_id,distance_to_obj,num_attempts,trial_time,left_hand_distance_travelled,right_hand_distance_travelled,left_trigger_clicked,right_trigger_clicked,left_grip_clicked,right_grip_clicked
sub_14,Flower,2,1,Search,1,11.84574,3,34.27603,3.073053,1.934144,0,9,0,3
sub_14,Flower,2,2,Repeat,1,11.82585,1,4.678188,0.6163282,0.246608,0,3,0,1
sub_14,Flower,2,3,Search,2,11.50749,1,2.102425,0.289846,0.2445747,0,2,0,0
sub_14,Flower,2,4,Repeat,2,11.50779,1,2.478218,0.3064995,0.1637112,0,2,0,0
sub_14,Flower,2,5,Search,3,6.197564,1,1.698929,0.268842,0.1707459,0,2,0,0
sub_14,Flower,2,6,Repeat,3,6.202446,1,1.907257,0.2986155,0.1792834,0,2,0,0
sub_14,Flower,2,7,Search,4,13.5591,1,15.73216,1.624197,0.408593,0,7,0,5
sub_14,Flower,2,8,Repeat,4,13.55505,1,7.465263,0.5080269,0.1862263,0,6,0,4
sub_14,Flower,2,9,Search,5,13.276,1,18.85115,1.32609,0.2901405,0,12,0,10
sub_14,Flower,2,10,Repeat,5,13.27815,1,1.963242,0.2257872,0.1298165,0,2,0,0
sub_14,Flower,3,11,Search,1,9.777572,2,10.72011,1.144481,0.3283077,0,7,0,4
sub_14,Flower,3,12,Repeat,1,9.811324,1,4.120682,0.4503929,0.1868993,0,4,0,2
sub_14,Flower,3,13,Search,2,13.32074,1,5.039673,0.4875991,0.1807795,0,4,0,2
sub_14,Flower,3,14,Repeat,2,13.32525,1,1.740097,0.251384,0.1313567,0,2,0,0
sub_14,Flower,3,15,Search,3,8.388182,1,1.86557,0.2322723,0.08384433,0,2,0,0
sub_14,Flower,3,16,Repeat,3,8.388702,1,5.972672,0.766405,0.2652518,0,5,0,4
sub_14,Flower,3,17,Search,4,9.920324,1,8.298126,1.048241,0.1453191,0,6,0,4
sub_14,Flower,3,18,Repeat,4,9.921087,1,1.83783,0.2362476,0.06528895,0,2,0,0
sub_14,Flower,3,19,Search,5,9.996074,1,4.747528,0.5837244,0.1747731,0,4,0,2
sub_14,Flower,3,20,Repeat,5,9.999632,1,1.740479,0.2653283,0.07040895,0,2,0,0
sub_14,Flower,1,21,Search,1,4.806004,3,21.64865,1.437484,0.2970441,0,16,0,11
sub_14,Flower,1,22,Repeat,1,4.796554,1,2.631348,0.2291677,0.04941469,0,2,0,0
sub_14,Flower,1,23,Search,2,10.8861,1,6.348373,0.5308795,0.1035167,0,5,0,3
sub_14,Flower,1,24,Repeat,2,10.89281,1,1.921219,0.167859,0.05112441,0,2,0,0
sub_14,Flower,1,25,Search,3,5.183722,1,2.645203,0.3121217,0.07447934,0,3,0,0
sub_14,Flower,1,26,Repeat,3,5.183482,1,1.865494,0.2493566,0.03780159,0,2,0,0
sub_14,Flower,1,27,Search,4,11.72127,2,9.133041,0.9501499,0.137714,0,8,0,5
sub_14,Flower,1,28,Repeat,4,11.72369,1,1.991074,0.1767542,0.07605744,0,2,0,0
sub_14,Flower,1,29,Search,5,7.58463,1,3.438599,0.3838898,0.08868863,0,3,0,1
sub_14,Flower,1,30,Repeat,5,7.587645,1,1.628799,0.1729165,0.04684807,0,2,0,0
sub_14,GravityZone,2,31,Search,1,11.50235,1,10.88689,0.4877239,0.2124398,0,1,0,0
sub_14,GravityZone,2,32,Repeat,1,11.47321,1,4.914734,0.2532263,0.1227013,0,1,0,0
sub_14,GravityZone,2,33,Search,2,4.135454,1,4.886623,0.3095034,0.09041604,0,1,0,0
sub_14,GravityZone,2,34,Repeat,2,4.136828,1,4.232281,0.3207283,0.1784537,0,1,0,0
sub_14,GravityZone,2,35,Search,3,11.40433,2,5.917213,0.3925605,0.1305783,0,2,0,0
sub_14,GravityZone,2,36,Repeat,3,11.40173,1,5.248573,0.3444445,0.1627998,0,1,0,0
sub_14,GravityZone,2,37,Search,4,11.72361,1,5.429604,0.3736609,0.1776854,0,2,0,0
sub_14,GravityZone,2,38,Repeat,4,11.7256,1,4.469048,0.2692152,0.110036,0,1,0,0
sub_14,GravityZone,2,39,Search,5,7.58336,1,7.699074,0.3876567,0.1155042,0,1,0,0
sub_14,GravityZone,2,40,Repeat,5,7.565894,2,14.29805,0.4692954,0.1555111,0,2,0,0
sub_14,GravityZone,3,41,Search,1,11.4054,1,9.800385,0.3930364,0.1661797,0,1,0,0
sub_14,GravityZone,3,42,Repeat,1,11.41677,1,6.724052,0.2794803,0.1822198,0,1,0,0
sub_14,GravityZone,3,43,Search,2,7.466246,1,6.626633,0.3653655,0.1690276,0,1,0,0
sub_14,GravityZone,3,44,Repeat,2,7.439416,1,4.94162,0.3618241,0.1743885,0,1,0,0
sub_14,GravityZone,3,45,Search,3,3.091233,1,2.478745,0.1973469,0.136147,0,1,0,0
sub_14,GravityZone,3,46,Repeat,3,3.108116,1,4.148697,0.2713716,0.09196381,0,1,0,0
sub_14,GravityZone,3,47,Search,4,7.581551,1,13.04489,0.5140404,0.1816175,0,1,0,0
sub_14,GravityZone,3,48,Repeat,4,7.567403,1,9.021255,0.4896634,0.1866144,0,1,0,0
sub_14,GravityZone,3,49,Search,5,11.8438,1,8.589844,0.4750457,0.2602722,0,1,0,0
sub_14,GravityZone,3,50,Repeat,5,11.82113,1,7.07193,0.3190756,0.1066606,0,1,0,0
sub_14,GravityZone,1,51,Search,1,9.92214,1,6.904892,0.4187148,0.1662121,0,1,0,0
sub_14,GravityZone,1,52,Repeat,1,9.910197,1,7.281326,0.4266365,0.1981148,0,1,0,0
sub_14,GravityZone,1,53,Search,2,11.83387,1,7.880203,0.4455524,0.2671906,0,1,0,0
sub_14,GravityZone,1,54,Repeat,2,11.84146,1,9.954605,0.4022878,0.1902337,0,1,0,0
sub_14,GravityZone,1,55,Search,3,9.97892,1,3.675674,0.2145507,0.08055035,0,1,0,0
sub_14,GravityZone,1,56,Repeat,3,9.98341,1,4.789291,0.1942254,0.08857454,0,1,0,0
sub_14,GravityZone,1,57,Search,4,10.89631,1,6.237305,0.4322149,0.1780019,0,1,0,0
sub_14,GravityZone,1,58,Repeat,4,10.87268,1,3.647903,0.222763,0.09955451,0,1,0,0
sub_14,GravityZone,1,59,Search,5,13.28497,1,3.661682,0.2722926,0.09957907,0,1,0,0
sub_14,GravityZone,1,60,Repeat,5,13.28615,1,5.889313,0.3346374,0.09290046,0,1,0,0
sub_14,OhMiniMap,1,61,Search,1,5.959731,1,8.052643,0.6063197,1.009123,1,1,0,1
sub_14,OhMiniMap,1,62,Repeat,1,5.98646,1,4.261108,0.5899962,0.4407051,2,1,0,1
sub_14,OhMiniMap,1,63,Search,2,11.63951,1,9.420929,0.5988811,0.4967865,1,1,0,1
sub_14,OhMiniMap,1,64,Repeat,2,11.64087,1,10.58508,0.7178707,0.669409,1,1,0,1
sub_14,OhMiniMap,1,65,Search,3,6.237979,1,4.402802,0.3681329,0.3176024,1,1,0,1
sub_14,OhMiniMap,1,66,Repeat,3,6.24382,1,3.843933,0.3546526,0.3589014,1,2,0,1
sub_14,OhMiniMap,1,67,Search,4,5.631474,1,2.821869,0.2771808,0.2313303,1,0,0,1
